Run, Total, Start, End, Time
0, 10, 1760278857.455338, 1760278874.5633652, 17.10802721977234
1, 10, 1760278874.5633888, 1760278888.485054, 13.92166519165039
2, 10, 1760278888.485078, 1760278903.3702679, 14.885189771652222
3, 10, 1760278903.370291, 1760278917.796337, 14.426045894622803
4, 10, 1760278917.79636, 1760278932.2625039, 14.46614384651184
5, 10, 1760278932.2625291, 1760278945.958635, 13.69610595703125
6, 10, 1760278945.958657, 1760278959.9264839, 13.967826843261719
7, 10, 1760278959.926506, 1760278975.169555, 15.243048906326294
8, 10, 1760278975.169578, 1760278990.403511, 15.233932971954346
9, 10, 1760278990.4035342, 1760279004.522531, 14.118996858596802
Verification failed
Errors:
Assert might fail. Assertion @Puredef __eq__(self, other: object) -> bool:    Requires(state_pred(self))    Requires(Implies((not Stateless(other)), state_pred(other)))    Ensures(Implies(((type(self) == type(other)) or (type(other) == E) or (type(other) == F) or (self is other)), Result()))    if ((type(self) == type(other)) or (type(other) == E) or (type(other) == F) or (self is other)):        return True    return False might not hold. (basic_equality_3F.py@17.4--25.20)
Assert might fail. Assertion @Puredef __eq__(self, other: object) -> bool:    Requires(state_pred(self))    Requires(Implies((not Stateless(other)), state_pred(other)))    Ensures(Implies((type(self) == type(other)), Unfolding(self.state(), Unfolding(state_pred(other), (Result() == ((self.i == cast(H, other).i) and (self.s == cast(H, other).s) and (self.b == cast(H, other).b)))))))    Ensures(Implies((type(other) == G), Unfolding(self.state(), Unfolding(state_pred(other), (Result() == ((self.i == cast(G, other).i) and (self.s == cast(G, other).s) and (self.b == cast(G, other).b)))))))    Ensures(Implies((type(other) == I), Unfolding(self.state(), Unfolding(state_pred(other), (Result() == ((self.i == cast(I, other).i) and (self.s == cast(I, other).s) and (self.b == cast(I, other).b)))))))    if (type(self) == type(other)):        return Unfolding(self.state(), Unfolding(state_pred(other), ((self.i == cast(H, other).i) and (self.s == cast(H, other).s) and (self.b == cast(H, other).b))))    elif (type(other) == G):        return Unfolding(self.state(), Unfolding(state_pred(other), ((self.i == cast(G, other).i) and (self.s == cast(G, other).s) and (self.b == cast(G, other).b))))    elif (type(other) == I):        return Unfolding(self.state(), Unfolding(state_pred(other), ((self.i == cast(I, other).i) and (self.s == cast(I, other).s) and (self.b == cast(I, other).b))))    return False might not hold. (basic_equality_3F.py@105.4--164.14)
Assert might fail. Assertion @Puredef __eq__(self, other: object) -> bool:    Requires(state_pred(self))    Requires(Implies((not Stateless(other)), state_pred(other)))    Ensures(Implies((type(self) == type(other)), Unfolding(self.state(), Unfolding(state_pred(other), (Result() == ((self.i == cast(I, other).i) and (self.s == cast(I, other).s) and (self.b == cast(I, other).b)))))))    Ensures(Implies((type(other) == G), Unfolding(self.state(), Unfolding(state_pred(other), (Result() == ((self.i == cast(G, other).i) and (self.s == cast(G, other).s) and (self.b == cast(G, other).b)))))))    Ensures(Implies((type(other) == H), Unfolding(self.state(), Unfolding(state_pred(other), (Result() == ((self.i == cast(H, other).i) and (self.s == cast(H, other).s) and (self.b == cast(H, other).b)))))))    if (type(self) == type(other)):        return Unfolding(self.state(), Unfolding(state_pred(other), ((self.i == cast(I, other).i) and (self.s == cast(I, other).s) and (self.b == cast(I, other).b))))    elif (type(other) == G):        return Unfolding(self.state(), Unfolding(state_pred(other), ((self.i == cast(G, other).i) and (self.s == cast(G, other).s) and (self.b == cast(G, other).b))))    elif (type(other) == H):        return Unfolding(self.state(), Unfolding(state_pred(other), ((self.i == cast(H, other).i) and (self.s == cast(H, other).s) and (self.b == cast(H, other).b))))    return False might not hold. (basic_equality_3F.py@177.4--237.14)
Verification took 14.12 seconds.

14.706698346138001
